batch_size,latency_ms_per_batch,latency_ms_per_image,vram_peak_mb,input_size,profile_iters,warmup_iters,method_id,method_label,seed,run_dir
32,15.97680155436198,0.4992750485738118,713.81689453125,224,30,10,transfer_l234,FT-S2-S4,1,runs_binary_iqa/transfer_l234_seed1
64,23.31380208333333,0.3642781575520833,3090.91064453125,224,30,10,transfer_l234,FT-S2-S4,1,runs_binary_iqa/transfer_l234_seed1
8,5.060090637207031,0.6325113296508789,2737.62158203125,224,30,10,transfer_l234,FT-S2-S4,2,runs_binary_iqa/transfer_l234_seed2
16,3.77650883992513,0.2360318024953206,549.10595703125,224,30,10,transfer_l234,FT-S2-S4,2,runs_binary_iqa/transfer_l234_seed2
32,7.622506713867187,0.2382033348083496,715.54345703125,224,30,10,transfer_l234,FT-S2-S4,2,runs_binary_iqa/transfer_l234_seed2
64,16.918112182617186,0.2643455028533935,3091.41845703125,224,30,10,transfer_l234,FT-S2-S4,2,runs_binary_iqa/transfer_l234_seed2
8,4.282540893554687,0.5353176116943359,2739.75439453125,224,30,10,transfer_l234,FT-S2-S4,3,runs_binary_iqa/transfer_l234_seed3
16,7.929598999023438,0.4955999374389648,551.02001953125,224,30,10,transfer_l234,FT-S2-S4,3,runs_binary_iqa/transfer_l234_seed3
32,16.111264038085938,0.5034770011901856,717.39501953125,224,30,10,transfer_l234,FT-S2-S4,3,runs_binary_iqa/transfer_l234_seed3
64,23.60396728515625,0.3688119888305664,3093.89501953125,224,30,10,transfer_l234,FT-S2-S4,3,runs_binary_iqa/transfer_l234_seed3
8,2.433349355061849,0.3041686693827311,2735.89501953125,224,30,10,transfer_l234,FT-S2-S4,4,runs_binary_iqa/transfer_l234_seed4
16,7.590727233886719,0.4744204521179199,547.37939453125,224,30,10,transfer_l234,FT-S2-S4,4,runs_binary_iqa/transfer_l234_seed4
32,14.037990315755208,0.4386871973673502,713.81689453125,224,30,10,transfer_l234,FT-S2-S4,4,runs_binary_iqa/transfer_l234_seed4
64,20.939263916015623,0.3271759986877441,3090.91064453125,224,30,10,transfer_l234,FT-S2-S4,4,runs_binary_iqa/transfer_l234_seed4
